Nombre         Rol            Categoria      Puntaje    Codigo
Lux            SUPPORT          God          92.75       166
Malphite       TOP              A            49.12        86
Malzahar       MID              A            53.65       133
Maokai         JUNGLE           B            47.26       194
Master Yi      JUNGLE           God          88.32       198
Miss Fortune   ADC              S            59.76       114
Mordekaiser    TOP              God           86.1       135
Morgana        SUPPORT          God          80.11       148
Nami           SUPPORT          God          86.67       204
Nasus          TOP              S            62.75       123
Nautilus       SUPPORT          S            58.82       179
Neeko          MID              B            46.16        62
Nidalee        JUNGLE           C            32.91        21
Nilah          ADC              A            50.81        42
Nocturne       JUNGLE           A            51.57       205
Nunu           JUNGLE           B            41.95        36
Olaf           TOP              A             49.2       211
Orianna        MID              B            45.95        46
Ornn           TOP              A            52.16       159
Pantheon       MID              A            50.18        11
Poppy          TOP              B            41.94       183
Pyke           SUPPORT          S            70.23       132
Qiyana         MID              B            41.54       203
Quinn          MID              A            49.27        49
Rakan          SUPPORT          A            51.87       189
Rammus         JUNGLE           God          78.11       244
Rek'Sai        JUNGLE           D            26.09       212
Rell           SUPPORT          B            47.98       155
Renata Glasc   SUPPORT          A            55.57       147
Renekton       TOP              A            48.62       104
Rengar         JUNGLE           B            43.51       145
Riven          TOP              A             51.2       100
Rumble         MID              B            44.63        19
Ryze           MID              B            40.93        28
Samira         ADC              S            69.72       238
Sejuani        JUNGLE           A            50.79       168
Senna          SUPPORT          A            56.09        93
Seraphine      SUPPORT          A            52.83       115
Sett           TOP              S            72.68       223
Shaco          JUNGLE           S            68.89       213
Shen           TOP              S            61.22       164
Shyvana        JUNGLE           C            40.12       120
Singed         MID              S            58.63         3
Sion           TOP              B               45       129
Sivir          ADC              C            36.62       202
Skarner        TOP              C            37.75       180
Sona           SUPPORT          A            56.87       142
Soraka         SUPPORT          S            64.53       118
Swain          SUPPORT          A            55.21       153
Sylas          JUNGLE           God           91.1       236
Syndra         MID              A            53.49       225
Tahm Kench     TOP              B            41.74       222
Taliyah        MID              B            44.03       235
Talon          MID              B            47.97        45
Taric          SUPPORT          B            44.93       160
Teemo          TOP              S            59.87       119
Thresh         SUPPORT          S            66.85        83
Tristana       ADC              A            54.11        96
Trundle        JUNGLE           C            37.71       190
Tryndamere     TOP              A            48.52        15
Twisted Fate   MID              C            40.26       163
Twitch         ADC              A            52.07        98
Udyr           JUNGLE           God          85.95        47
Urgot          TOP              B            46.24       158
Varus          ADC              A            55.31         1
Vayne          ADC              A            49.39        54
Veigar         MID              A            51.29        58
Vel'Koz        MID              A            50.24         9
Vex            MID              A            55.12       162
Vi             JUNGLE           A            56.38        31
Viego          JUNGLE           S            67.89        10
Viktor         MID              A            55.18        51
Vladimir       MID              A            49.08       169
Volibear       TOP              C            36.53       172
Warwick        JUNGLE           God          76.16       144
Wukong         JUNGLE           A             53.5       184
Xayah          ADC              B            40.73        25
Xerath         MID              B            48.12       117
Xin Zhao       JUNGLE           C            37.07        40
Yasuo          MID              S            68.71       185
Yone           MID              S            61.43        34
Yorick         TOP              B            47.09       233
Yuumi          SUPPORT          God             90       108
Zac            JUNGLE           S            62.96       199
Zed            MID              God          87.21        87
Zeri           ADC              S            59.61       251
Ziggs          MID              B            48.01       102
Zilean         MID              A            54.98        61
Zoe            MID              B            46.03       182
Zyra           SUPPORT          A            52.45         5
