                                        Productos 
=====================================================================================================================================
Codigo    Descripciom                                                     Precio       Stock
EQY-018   Radio AM/FM stereo RMU-51C                                      301.73         7
OQI-373   Cocina Empotrable Premio Plus                                   906.16         2
OTH-462   Lavadora Semi-Automatica                                        531.04         3
XTE-383   Rack Fijo 32/60                                                 261.01         4
ZVA-180   Refrigeradora 322 litros                                       2903.13         1
BCN-855   Cocina a gas Bahia Can                                         4015.92         3
PQH-935   Rack Giratorio 26/32                                             94.45        10
LYZ-614   Impresore Mutifuncional Expression XP-211                      3510.84        10
FYF-898   Proyector a color                                              1160.46        13
OPJ-039   Secadora de Ropa                                               2765.64         9
CNN-411   Congeladora Side by Side                                       2296.29        13
KJX-387   Ventilador de techo                                             613.19         1
JFC-432   DVD DVM-L79                                                     307.67         4
EJW-346   Campana Extractora                                               359.7         2
EBI-299   Cocina a gas Fridare                                           2287.57         2
FEG-454   Sillon masajeador                                               1695.7         0
YEZ-591   Lavadora WA                                                    1320.03         4
UXG-019   Terma de acumulacion                                            934.91         3
FVB-607   Cocina a gas Essenza BL                                        2953.07         7
RDT-761   Horno Microondas con dorador                                    904.95         2
BWD-036   Cocina Empotrable Klimatica                                    1086.34         0
TMN-884   Secadora de mano                                                310.65         0
ZXK-295   Cocina Empotrable Electrica                                    3679.43         5
DIQ-718   Horno Microondas de Conveccion Cello                             390.8         2
BTO-226   Friobar                                                         863.19        18
DFF-034   Grabadora de voz digital portátil con USB integrado             259.25         8
OFS-384   Parlantes Bluetooth                                             805.22         3
YZD-580   Mini componente ESX8                                           1582.29         3
OTW-288   Cavba de Vinos GE cap. 34 botellas                             1119.18         1
UOD-420   Mini componente ESX6                                            828.94         3
IDO-503   Laptop GamerVictus de 15.6                                     3935.17        11
VDD-853   Deshumedecedor  FAD30D7TSSW 3.4L 25-30m2                       1095.67         5
VTV-269   Extractor de aire                                               854.48         5
XZR-640   Lavadora-Secadora FWD                                          2390.58         3
DON-719   Secadora de Cabello SG-3035                                     360.69         6
HTY-123   Refrigeradora GM-S604ULV                                       1173.33         1
LWG-915   Cocina a gas Murano                                            1101.47         2
JYQ-045   Horno Microondas 1.2 p3                                         267.15        14
AWB-345   Deshumedecedor DM-189H                                          800.37         0
YGV-332   Impresora Led Color                                            2517.66        14
HLR-109   Parlantes inalambricos                                          439.47        15
MQR-442   Reloj Digital RMM-29                                            271.66        21
GBD-525   Refrigeradora Puertas Mágicas                                  2700.95         3
DEV-433   Parlantes portatiles SHOQBOX                                   2698.74        10
OXP-732   Televisor OLED 4K UHD Google TV Smart 77 XR-77A80L LA8         16504.5         1
FVQ-662   Cocina a gas Pro 6300 INOX                                     1060.68         0
DEN-125   Rack Fijo 26/32                                                 562.46        20
CRU-009   Lavavajilla                                                    2655.78         1
RSE-049   Radio CD/DVD - TV                                              4037.51        10
BRD-969   Centro de Lavado Electrico                                     2579.72         2
CIM-038   Cocina Empotrable Petra                                        2544.64         0
CNQ-172   Congeladora Horizontal 364 Lts.                                3689.62         5
QFR-958   Cocina a gas Bavaro                                            1607.46         0
TYF-885   Videojuego TW 4                                                 794.14         0
VVS-017   Tablets MW 0731                                                2599.72         1
BXY-119   Cocina Empotrable Klimatica                                    2716.11         0
GKG-558   Horno Microondas MS2042D                                       1674.24        20
UCX-285   Galaxy Tab 3                                                   3290.93         8
WZD-331   Refrigeradora ECOTT 465 IX                                     1213.79         1
AFL-718   Vinera                                                         1664.97         0
JJN-837   Lavadora Tecnologia Wobbie                                     1979.92         7
KDA-627   Cocina a gas Ijasmin                                           1424.46         2
PVZ-181   Ventilador circular                                             309.77         0
ISU-815   Audifonos                                                       619.89         4
OWN-701   Olla arrocera                                                   220.82        13
HFM-021   Horno Electrico                                                 726.91         1
GBJ-693   Radio CD                                                         314.2         1
FQG-293   Rapiducha Premiun                                              2784.31         8
XBD-314   Cocina a gas Fassina                                            1444.9         1
QIL-029   Mini componente Shake-5                                        2990.55         4
ZWF-661   Impresora Led                                                  2731.61         0
QHC-492   Terma Solucion                                                 1907.23         0
XLF-273   Centro de Lavado a Gas                                         2371.95         1
XOA-735   Congeladora Vertical 392 Lts.                                  2708.07         5
FLW-631   Radio Reloj Despertador                                         819.04         4
ZEX-027   Tablet Xperia Z                                                3843.75         5
QJO-060   Televisor LED FULL HD                                          2704.14        17
GXF-122   Televisor Ultra HDTV                                           1110.16         4
QFP-254   Calentador electrico instantaneo                                180.65         2
DUG-251   Cocina a gas FFG3047SL                                         1597.96         0
III-576   Campana Extractora Venus Plus                                  1077.65         5
IHG-413   Parlant Y pedestal PAM-83                                        317.7         6
QQB-968   Refrigeradora 484 litros                                       1452.92         9
