Codigo Plato        Nombre del Plato                                                           Precio         Total Pedidos  Monto Recaudado
EN-381            HONEY GRANDE CON POLLO                                                      32.9                   1           32.9
AD-991            HUEVO                                                                        3.9                   1            3.9
AD-939            TEQUENO                                                                      4.9                   1            4.9
AD-377            PLATANO                                                                      3.9                   2            7.8
AD-265            ANTICUCHO                                                                   12.9                   2           25.8
AD-760            ARROZ                                                                        6.9                   2           13.8
AD-764            PLATANO-HUEVO                                                                6.9                   4           27.6
AD-518            PAPAS FRITAS                                                                15.9                   5           79.5
AD-957            PAPAS FRITAS 1/2 PORCION                                                    10.9                   1           10.9
AD-477            PAPAS DORADAS                                                               15.9                   1           15.9
AD-502            PORCION DE CAMOTE                                                           15.9                   0              0
AD-814            PALTA                                                                        9.9                   2           19.8
AD-546            CHOCLO                                                                       9.9                   1            9.9
BE-747            COCA COLA 1/2 LITRO                                                            7                   1              7
BE-864            INKA COLA 1/2 LITRO                                                            7                   2             14
BE-489            FANTA 1/2 LITRO                                                                7                   1              7
BE-227            SPRITE1/2 LITRO                                                                7                   1              7
BE-903            CHICHA1/2 LITRO                                                             10.5                   1           10.5
BE-199            LIMONADA 1 LITRO                                                            10.5                   4             42
BE-584            COCA COLA 1 LITRO                                                           15.5                   0              0
BE-160            INKA COLA 1 LITRO                                                           15.5                   1           15.5
BE-987            FANTA 1 LITRO                                                               15.5                   2             31
BE-536            SPRITE 1 LITRO                                                              15.5                   3           46.5
BE-141            CHICHA 1 LITRO                                                              21.9                   1           21.9
BE-442            LIMONADA 1 LITRO                                                            21.9                   1           21.9
BE-137            CERVEZA PILSEN                                                                12                   5             60
BE-431            CERVEZA CUSQUENA                                                            12.5                   1           12.5
BE-738            CERVEZA HEINEKEN                                                            18.9                   0              0
BE-695            SANGRIA                                                                     36.9                   1           36.9
BE-475            INTIPALKA SYRAH                                                             71.9                   2          143.8
BE-810            INTIPALKA MALBEC                                                            71.9                   4          287.6
BE-955            CASILLERO DEL DIABLO TINTO                                                  73.9                   2          147.8
BE-851            CASILLERO DEL DIABLO BLANCO                                                 73.9                   0              0
BE-265            TABERNERO GRAN TINTO                                                        49.9                   2           99.8
BE-896            FINA RESERVA TINTO                                                         128.9                   4          515.6
PO-751            MAZAMORRA MORADA                                                             8.9                   2           17.8
PO-731            ARROZ CON LECHE                                                              8.9                   1            8.9
PO-171            TORTA DE CHOCOLATE                                                          15.9                   0              0
PO-172            TORTA DE NARANJA                                                            15.9                   1           15.9
PO-611            TRES LECHES                                                                 15.9                   2           31.8
PO-620            CHEESECAKE DE FRESA                                                         15.9                   2           31.8
P0-621            CHEESECAKE DE MARACUYA                                                      15.9                   3           47.7
PO-471            1 BOLA DE HELADO                                                             8.9                   1            8.9
PO-283            2 BOLAS DE HELADO                                                           14.9                   0              0
