Codigo Libro   Nombre del libro                                            Autor del libro                                   
PQB0775        El diablo de la botella y otros cuentos                     Robert Louis Stevenson                            
FWK6327        El doble                                                    Fiodor Dostoyevski                                
JGG5049        El eterno marido                                            Fiodor Dostoyevski                                
VOI0019        El evangelio según Jesucristo                               Jose Saramago                                     
ZNF2241        El extranio caso del Dr. Jekyll y Mr. Hyde                  Robert Louis Stevenson                            
AZL1098        El extranjero                                               Albert Camus                                      
BUC5125        El faro de Stalingrado                                      Iain MacGregor                                    
CRA4157        El forastero misterioso                                     Mark Twain                                        
HHR5161        El francotirador paciente                                   Arturo Perez-Reverte                              
GWE4133        El gato negro y otros cuentos                               Edgar Allan Poe                                   
GOG7446        El guardian entre el centeno                                J. D. Salinger                                    
SBF7018        El handicap de la vida                                      Rudyard Kipling                                   
DPZ8059        El hombre que pudo reinar                                   Rudyard Kipling                                   
HVZ1228        El húsar                                                    Arturo Perez-Reverte                              
PHL4155        El idiota                                                   Fiodor Dostoyevski                                
OBD2849        El invierno del mundo                                       Ken Follett                                       
XCC4070        El italiano                                                 Arturo Perez-Reverte                              
EUO8195        El jardin del Eden                                          Hernest Hemingway                                 
BTX3816        El jugador                                                  Fiodor Dostoyevski                                
QFG6515        El libro de la selva                                        Rudyard Kipling                                   
CKR6798        El lobo estepario                                           Hermann Hesse                                     
JBR9372        El maestro de esgrima                                       Arturo Perez-Reverte                              
HXB2949        El medico                                                   Noah Gordon                                       
CTW5846        El medievo cristiano                                        Mario Merlino                                     
XTM9385        El mundo                                                    Simon Sebag Montefiore                            
RWW7975        El nombre de la rosa                                        Umberto Eco                                       
VFZ9435        El olor de la Edad Media                                    Javier Traite                                     
YDK7687        El otonio del patriarca                                     Gabriel Garcia Marquez                            
FBO8724        El pendulo de Foucault                                      Umberto Eco                                       
USM9579        El perfume                                                  Patrick Suskind                                   
HPP3360        El pintor de batallas                                       Arturo Perez-Reverte                              
WOF6634        El problema final                                           Arturo Perez-Reverte                              
IUG2294        El proceso                                                  Franz Kafka                                       
UFK9792        El psicoanalista                                            John Katzenbach                                   
UCJ9882        El reino de este mundo                                      Alejo Carpentier                                  
JLQ6546        El retorno del Rey                                          J.R.R.Tolkien                                     
DXP8640        El retrato de Dorian Gray                                   Oscar Wilde                                       
ZPD6557        El ruido y la furia                                         William Faulkner                                  
RZX8790        El senior de las moscas                                     William Golding                                   
HLC2748        El senior de los anillos (Trilogia)                         J.R.R.Tolkien                                     
KSX7995        El simbolo perdidoi                                         Dan Brown                                         
ZJM1292        El suenio del celta                                         Mario Vargas Llosa                                
ZQY9966        El suenio del tio                                           Fiodor Dostoyevski                                
JZC7527        El tambor de hojalata                                       Gunter Grass                                      
RLQ7170        El tango de la guardia vieja                                Arturo Perez-Reverte                              
BAP2859        El túnel                                                    Ernesto Sabato                                    
ZOY6470        El viejo y el mar                                           Hernest Hemingway                                 
QMJ4188        Emma                                                        Jane Austen                                       
NEO9165        Emperador de Roma                                           Mary Beard                                        
YXF2137        En agosto nos vemos                                         Gabriel Garcia Marquez                            
DDQ0721        En busca del tiempo perdido                                 Marcel Proust                                     
JXK3142        En el camino                                                Jack Kerouac                                      
DEK2757        En llamas                                                   Suzanne Collins                                   
TOJ1764        Ensayo sobre la ceguera                                     Jose Saramago                                     
NBL8415        Espania con honra                                           Daniel Aquillue                                   
SPM4763        Eva                                                         Arturo Perez-Reverte                              
HPM0950        Fahrenheit 451                                              Ray Bradbury                                      
DVL7760        Falco                                                       Arturo Perez-Reverte                              
BZY0235        Fausto                                                      Johann Wolfgang Von Goethe                        
CUV7849        Ficciones                                                   Jorge Luis Borges                                 
QKH2262        Fiesta                                                      Hernest Hemingway                                 
USE5598        Fortaleza digitali                                          Dan Brown                                         
HLB4548        Frankenstein o el moderno Prometeo                          Mary W. Shelley                                   
GDA4236        Gente normal                                                Sally Rooney                                      
UEJ1235        Grandes esperanzas                                          Charles Dickens                                   
ALH8812        Guerra y Paz                                                Leon Tolstoi                                      
MTZ2227        Hamlet                                                      William Shakespeare                               
LDL2628        Harry Potter y el caliz de fuego (Harry Potter 4)           J.K. Rowling                                      
ZQD4253        Harry Potter y el misterio del principe ( Harry Potter 6)   J. K. Rowling                                     
KBF4088        Harry Potter y el prisionero de Azkaban (Harry Potter 3)    J.K. Rowling                                      
ZYF6683        Harry Potter y la Orden del Fenix ( Harry Potter 5)         J. K. Rowling                                     
CJN4376        Harry Potter y la camara secreta (Harry Potter 2)           J. K. Rowling                                     
ISY5671        Harry Potter y la piedra filosofal (Harry Potter 1)         J. K. Rowling                                     
THT4126        Harry Potter y las reliquias de la muerte (Harry Potter 7)  J. K. Rowling                                     
MEH2993        Hijos de un tiempo perdido                                  Jose Maria Bermúdez de Castro                     
ZLE2920        Historia de la Edad Media                                   Indro Montanelli                                  
QYH7021        Historia del siglo XX: 1914-1991                            Eric Hobsbawm                                     
VHK9148        Historia y cronologia del mundo                             Isaac Asimov                                      
GKG6581        Hombres buenos                                              Arturo Perez-Reverte                              
ILG7766        Iliada                                                      Homero                                            
CST1133        Inferno                                                     Dan Brown                                         
KPE7420        Jane Eyre                                                   Charlotte Brontë                                  
ECT0289        Juego de tronos                                             George R.R.Martin                                 
FWP8469        Justine o los infortunios                                   Charles Dickens                                   
PQZ1316        La Eneida                                                   Virgilio                                          
AGQ7769        La Flecha Negra                                             Robert Louis Stevenson                            
SFZ1256        La Iliada                                                   Homero                                            
JSM8271        La Odisea                                                   Homero                                            
EZP0333        La Reina del Sur                                            Arturo Perez-Reverte                              
PZP7176        La caida de los gigantes                                    Ken Follett                                       
OUU5470        La carta esferica                                           Arturo Perez-Reverte                              
NGQ6935        La casa de los espiritus                                    Isabel Allende                                    
VFO4193        La catedral del mar                                         Ildefonso Falcones                                
TDY0497        La chica del tren                                           Paula Hawkins                                     
HGN9910        La ciudad y los perros                                      Mario Vargas Llosa                                
MVU0233        La conspiracioni                                            Dan Brown                                         
EFD3949        La divina comedia                                           Dante Alighieri                                   
KVL6246        La edad media - barbaros - cristianos y musulmanes          Umberto Eco                                       
ICU6090        La fiesta del chivo                                         Mario Vargas Llosa                                
GPH1575        La gran aventura de los griegos                             Javier Negrete                                    
LRV5687        La guerra del fin del mundo                                 Mario Vargas Llosa                                
WHU1288        La hija italiana                                            Soraya Lane                                       
EHX6253        La isla de las tormentas                                    Ken Follett                                       
QMI4747        La isla de los amores infinitos                             Daina Chaviano                                    
BDK4183        La isla del tesoro                                          Robert Louis Stevenson                            
ILA4795        La ladrona de libros                                        Markus ZusaK                                      
JKE9650        La metamorfosis                                             Franz Kafka                                       
PWB4941        La montania magica                                          Thomas Mann                                       
WWT1581        La piel del tambor                                          Arturo Perez-Reverte                              
EWI3090        La seniora Dalloway                                         Virginia Woolf                                    
BUY4915        La sombra del aguila                                        Arturo Perez-Reverte                              
SMW0186        La sombra del viento                                        Carlos Ruiz Zafon                                 
ULM8751        La sumisa                                                   Fiodor Dostoyevski                                
IMK4892        La tabla de Flandes                                         Arturo Perez-Reverte                              
BRG4234        La telarania de Carlota                                     E. B. White                                       
PWX7633        La tia Julia y el escribidor                                Mario Vargas Llosa                                
MIK5358        La transformacion del mundo                                 Jürgen Osterhammel                                
FMX8255        Las aventuras de Huckleberry Finn                           Mark Twain                                        
EDQ0577        Las aventuras de Pinocho                                    Carlo Collodi                                     
ELC8965        Las aventuras de Rocambole                                  Ponson Du Terrail                                 
LVP3355        Las aventuras de Sherlock Holmes                            Arthur Conan Doyle                                
XJT3661        Las aventuras de Tom Sawye                                  Mark Twain                                        
QRH6838        Las cronicas de Narnia                                      C. S. Lewis                                       
RII8346        Las dos Dianas                                              Alejandro Dumas                                   
DEF7625        Las uvas de la ira                                          John SteinbecK                                    
XRL3393        Le dedico mi silencio                                       Mario Vargas Llosa                                
EBT7258        Linea de fuego                                              Arturo Perez-Reverte                              
HDA2333        Lituma en los Andes                                         Mario Vargas Llosa                                
DND9446        Lo que el viento se llevo                                   Margaret Mitchell                                 
BUT4998        Lolita                                                      Vladimir Nabokov                                  
UXZ2187        Los 7 habitos de la gente altamente efectiva                Stephen R. Covey                                  
UDS2730        Los Nibelungos                                              Anonimo                                           
CXW5879        Los barcos se pierden en tierra                             Arturo Perez-Reverte                              
SMI7078        Los cachorros                                               Mario Vargas Llosa                                
VYG3594        Los demonios                                                Fiodor Dostoyevski                                
XMT1768        Los diarios de Adan y Eva                                   Mark Twain                                        
HRT0664        Los funerales de la Mama Grande                             Gabriel Garcia Marquez                            
OMN0252        Los hermanos Karamazov                                      Fiodor Dostoyevski                                
JJV7549        Los hombres que no amaban a las mujeres                     Stieg Larsson                                     
VDL9379        Los juegos del hambre                                       Suzanne Collins                                   
QBL9575        Los miserables                                              Victor Hugo                                       
DTH6788        Los perros duros no bailan                                  Arturo Perez-Reverte                              
IMC3155        Los pilares de la tierra                                    Ken Follett                                       
FKK6524        Los renglones torcidos de Dios                              Torcuato Luca de Tena                             
MLC7198        Los rios profundos                                          Jose Maria Arguedas                               
TMR5068        Los tres mosqueteros                                        Alejandro Dumas                                   
BXE0974        Los viajes de Gulliver                                      Jonathan Swift                                    
FYV9055        Macbeth                                                     William Shakespeare                               
QVX9089        Madame Bovary                                               Gustave Flaubert                                  
FVV9246        Matar a un ruisenior                                        Harper Lee                                        
SIR3963        Memorias de una geisha                                      Arthur Golden                                     
JNC0786        Mi isla                                                     Elisabet Benavent                                 
SXT1015        Mientras agonizo                                            William Faulkner                                  
DVR5984        Mil soles esplendidos                                       Khaled Hosseini                                   
ETV5056        Moby Dick                                                   Herman Melville                                   
MWB2923        Mudlarking                                                  Lara Maiklem                                      
MKB4184        Napoleon                                                    Alejandro Dumas                                   
QQQ4712        Nuestra Seniora de Paris                                    Victor Hugo                                       
IBP7411        Nunca                                                       Ken Follett                                       
HGQ0131        Odisea                                                      Homero                                            
JOF6762        Ojos azules                                                 Arturo Perez-Reverte                              
TBZ2657        Olalla                                                      Robert Louis Stevenson                            
KLV1872        Orgullo y prejuicio                                         Jane Austen                                       
OWO8918        Origen                                                      Dan Brown                                         
GJM4671        Origenes                                                    Lewis Dartnell                                    
BUB3833        Otelo                                                       William Shakespeare                               
NBE1339        Palmeras en la nieve                                        Luz Gabas                                         
CLG5566        Pantaleon y las visitadoras                                 Mario Vargas Llosa                                
CPE5718        Paris era una fiesta                                        Hernest Hemingway                                 
WMN3648        Pasaje a la India                                           E. M. Forster                                     
HSE3213        Por quien doblan las campanas                               Hernest Hemingway                                 
YJE2497        Progreso del peregrino                                      John Bunyan                                       
XIU6076        Rebelion en la granja                                       George Orwell                                     
PRD1648        Relato de un naufrago                                       Gabriel Garcia Marquez                            
PPI9259        Revolucion                                                  Arturo Perez-Reverte                              
CRY6839        Ricardo III                                                 William Shakespeare                               
LQA8555        Rimas y leyendas                                            Gustavo Adolfo Becquer                            
JXC1015        Robinson Crusoe                                             Daniel Defoe                                      
IFL0150        Romeo y Julieta                                             William Shakespeare                               
HWM4049        Romper el circulo                                           Colleen Hoover                                    
UCA0857        SPQR: una historia de la antigua Roma                       Mary Beard                                        
NFP3266        Sabotaje                                                    Arturo Perez-Reverte                              
PVS2464        Sapiens                                                     Yuval Noah Harari                                 
WYS2674        Secuestrado                                                 Robert Louis Stevenson                            
IPE3429        Sidi                                                        Arturo Perez-Reverte                              
RAO4129        Stalingrado                                                 Jonathan Trigg                                    
JZQ8143        Suenios de robot                                            Isaac Asimov                                      
NEW1762        Territorio comanche                                         Arturo Perez-Reverte                              
XBC5847        Tiempos recios                                              Mario Vargas Llosa                                
SBU9053        Tierra arrasada                                             Alfredo Gonzalez Ruibal                           
MSW8176        Todo se desmorona                                           Chinua Achebe                                     
MBQ9495        Tormenta de espadas                                         George R.R.Martin                                 
EFQ0297        Trampa 22                                                   Joseph Heller                                     
VMW6915        Travesuras de la ninia mala                                 Mario Vargas Llosa                                
RRE8138        Trilogia de la Fundacion                                    Isaac Asimov                                      
WPU8819        Tristam Shandy                                              Laurence Sterne                                   
KTA8754        Ulises                                                      James Joyce                                       
VTY5195        Un asunto de honor                                          Arturo Perez-Reverte                              
SHF2360        Un dia de colera                                            Arturo Perez-Reverte                              
CRR5443        Un mundo feliz                                              Aldous Huxley                                     
USK1312        Un mundo sin fin                                            Ken Follett                                       
IGT8523        Una columna de fuego                                        Ken Follett                                       
BSX2922        Una historia de Espania                                     Arturo Perez-Reverte                              
KGO1734        Una historia del mundo                                      Andrew Marr                                       
JTX5687        Veinte mil leguas de viaje submarino                        Julio Verne                                       
DDT0017        Viaje al fin de la noche                                    Louis Ferdinand Celine                            
QVU3526        Vidas intrepidas                                            Julio Albi de la Cuesta                           
PCS8992        Y no quedo ninguno                                          Agatha Christie                                   
EJE8138        Yawar fiesta                                                Jose Maria Arguedas                               
BHD6079        Zorba el griego                                             Nikos Kazantzakis                                 
